date,1_year
2013-04-15,2.6636
2013-04-16,2.6719
2013-04-17,2.7085
2013-04-18,2.7585
2013-04-19,2.8663
2013-04-22,2.8898
2013-04-23,2.8495
2013-04-24,2.8243
2013-04-25,2.8311
2013-04-26,2.8162
2013-04-27,2.7905
2013-04-28,2.7842
2013-05-02,2.7768
2013-05-03,2.7759
2013-05-06,2.8008
2013-05-07,2.8052
2013-05-08,2.8329
2013-05-09,2.833
2013-05-10,2.8305
2013-05-13,2.8416
2013-05-14,2.8412
2013-05-15,2.8298
2013-05-16,2.8459
2013-05-17,2.8622
2013-05-20,2.8653
2013-05-21,2.8812
2013-05-22,2.8714
2013-05-23,2.8649
2013-05-24,2.8673
2013-05-27,2.8655
2013-05-28,2.8609
2013-05-29,2.861
2013-05-30,2.8609
2013-05-31,2.8682
2013-06-03,2.8714
2013-06-04,2.8812
2013-06-05,2.9112
2013-06-06,2.9362
2013-06-07,3.0309
2013-06-08,3.1007
2013-06-09,3.0844
2013-06-13,3.0859
2013-06-14,3.1024
2013-06-17,3.1
2013-06-18,3.1509
2013-06-19,3.2606
2013-06-20,3.5606
2013-06-21,3.6106
2013-06-24,3.6504
2013-06-25,3.6504
2013-06-26,3.5738
2013-06-27,3.4463
2013-06-28,3.4812
2013-07-01,3.4706
2013-07-02,3.3721
2013-07-03,3.4212
2013-07-04,3.3912
2013-07-05,3.3716
2013-07-08,3.3916
2013-07-09,3.4016
2013-07-10,3.5001
2013-07-11,3.5001
2013-07-12,3.5006
2013-07-15,3.4998
2013-07-16,3.4299
2013-07-17,3.4345
2013-07-18,3.4544
2013-07-19,3.4624
2013-07-22,3.5248
2013-07-23,3.5503
2013-07-24,3.5746
2013-07-25,3.5107
2013-07-26,3.5034
2013-07-29,3.5128
2013-07-30,3.5
2013-07-31,3.4908
2013-08-01,3.4347
2013-08-02,3.3938
2013-08-05,3.419
2013-08-06,3.4047
2013-08-07,3.4069
2013-08-08,3.4271
2013-08-09,3.4333
2013-08-12,3.4479
2013-08-13,3.4837
2013-08-14,3.5373
2013-08-15,3.5541
2013-08-16,3.6041
2013-08-19,3.6241
2013-08-20,3.6241
2013-08-21,3.6341
2013-08-22,3.6436
2013-08-23,3.6435
2013-08-26,3.6212
2013-08-27,3.6215
2013-08-28,3.6235
2013-08-29,3.6086
2013-08-30,3.6186
2013-09-02,3.6173
2013-09-03,3.6173
2013-09-04,3.598
2013-09-05,3.6055
2013-09-06,3.6012
2013-09-09,3.6106
2013-09-10,3.6106
2013-09-11,3.6106
2013-09-12,3.5906
